"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2015","Arecibo","Hatillo","Capáez","Ají dulce","Capsicum chinense","Quintal","237","23,700.00","10,750.13","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2016","Arecibo","Hatillo","Capáez","Ají dulce","Capsicum chinense","Quintal","130","13,000.00","5,896.70","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Utuado","Jayuya","Mameyes Arriba","Achachairú","Garcinia spp.","Quintal","25","2,500.00","1,133.98","10.00","3.93","423,064.26","0.50","0.20","21,153.21","USDA plant database"
"","2014","San Germán","Hormigueros","Benavente","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","San Germán","Hormigueros","Benavente","Ají dulce","Capsicum chinense","Quintal","12","1,200.00","544.31","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","San Germán","Hormigueros","Lavadero","Ají dulce","Capsicum chinense","Quintal","1","100.00","45.36","0.02","0.01","846.13","0.02","0.01","846.13","USDA plant database"
"","2015","Mayagüez","Isabela","Galateo Alto","Ají dulce","Capsicum chinense","Quintal","240","24,000.00","10,886.21","2.50","0.99","105,766.06","2.50","0.99","105,766.06","USDA plant database"
"","2016","Caguas","Humacao","Cataño","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.50","0.59","63,459.64","0.00","0.00","0.00","USDA plant database"
"","2015","Mayagüez","Isabela","Arenales Altos","Ají dulce","Capsicum chinense","Quintal","152","15,200.00","6,894.60","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Mayagüez","Isabela","Arenales Altos","Ají dulce","Capsicum chinense","Quintal","364","36,400.00","16,510.75","8.50","3.34","359,604.63","8.50","3.34","359,604.63","USDA plant database"
"","2014","Mayagüez","Isabela","Bejucos","Ají dulce","Capsicum chinense","Quintal","110","11,000.00","4,989.51","1.50","0.59","63,459.64","1.50","0.59","63,459.64","USDA plant database"
"","2013","Mayagüez","Isabela","Jobos","Ají dulce","Capsicum chinense","Quintal","1","100.00","45.36","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Mayagüez","Isabela","Jobos","Ají dulce","Capsicum chinense","Quintal","1","100.00","45.36","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Mayagüez","Isabela","Llanadas","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Mayagüez","Isabela","Llanadas","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","Mayagüez","Isabela","Planas","Ají dulce","Capsicum chinense","Quintal","230","23,000.00","10,432.62","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","Utuado","Jayuya","Coabey","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","0.05","0.02","2,115.32","0.05","0.02","2,115.32","USDA plant database"
"","2013","Utuado","Jayuya","Jayuya Abajo","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Utuado","Jayuya","Jayuya Abajo","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","12.00","4.72","507,677.12","0.25","0.10","10,576.61","USDA plant database"
"","2015","Utuado","Jayuya","Jayuya Abajo","Ají dulce","Capsicum chinense","Quintal","0","40.00","18.14","50.00","19.65","2,115,321.32","50.00","19.65","2,115,321.32","USDA plant database"
"","2016","Utuado","Jayuya","Jayuya Abajo","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","50.00","19.65","2,115,321.32","0.00","0.00","0.00","USDA plant database"
"","2013","Utuado","Jayuya","Mameyes Arriba","Ají dulce","Capsicum chinense","Quintal","8","800.00","362.87","6,000.25","2,358.34","253,849,135.10","1,000.25","393.14","42,317,003.02","USDA plant database"
"","2014","Utuado","Jayuya","Mameyes Arriba","Ají dulce","Capsicum chinense","Quintal","1,008","100,800.00","45,722.07","0.25","0.10","10,576.61","","","","USDA plant database"
"","2015","Utuado","Jayuya","Mameyes Arriba","Ají dulce","Capsicum chinense","Quintal","3","300.00","136.08","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Utuado","Jayuya","Mameyes Arriba","Ají dulce","Capsicum chinense","Quintal","6","600.00","272.16","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Utuado","Jayuya","Mameyes Arriba","Jabuticaba","Myrciaria cauliflora","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2015","Utuado","Jayuya","Mameyes Arriba","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","3.00","1.18","126,919.28","0.00","0.00","0.00","USDA plant database"
"","2016","Lares","Lares","Espino","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","Mayagüez","Mayagüez","Algarrobos","Ají dulce","Capsicum chinense","Quintal","4","454.00","205.93","0.05","0.02","2,115.32","0.05","0.02","2,115.32","USDA plant database"
"","2016","Utuado","Jayuya","Pica","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","4.00","1.57","169,225.71","0.00","0.00","0.00","USDA plant database"
"","2015","Utuado","Jayuya","Saliente","Ají dulce","Capsicum chinense","Quintal","69","6,900.00","3,129.79","3.25","1.28","137,495.89","2.25","0.88","95,189.47","USDA plant database"
"","2016","Utuado","Jayuya","Saliente","Ají dulce","Capsicum chinense","Quintal","96","9,600.00","4,354.49","3.25","1.28","137,495.89","2.25","0.88","95,189.47","USDA plant database"
"","2013","Utuado","Jayuya","Zamas","Ají dulce","Capsicum chinense","Quintal","3","300.00","136.08","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Utuado","Jayuya","Zamas","Ají dulce","Capsicum chinense","Quintal","3","300.00","136.08","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Ponce","Juana Díaz","Collores","Ají dulce","Capsicum chinense","Quintal","35","3,500.00","1,587.57","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Ponce","Juana Díaz","Collores","Ají dulce","Capsicum chinense","Quintal","17","1,700.00","771.11","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Ponce","Juana Díaz","Collores","Ají dulce","Capsicum chinense","Quintal","17","1,700.00","771.11","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2015","Ponce","Juana Díaz","Río Cañas Abajo","Ají dulce","Capsicum chinense","Quintal","480","48,000.00","21,772.42","40.00","15.72","1,692,257.06","40.00","15.72","1,692,257.06","USDA plant database"
"","2016","Ponce","Juana Díaz","Río Cañas Abajo","Ají dulce","Capsicum chinense","Quintal","480","48,000.00","21,772.42","40.00","15.72","1,692,257.06","40.00","15.72","1,692,257.06","USDA plant database"
"","2013","Caguas","Juncos","Valenciano Abajo","Ají dulce","Capsicum chinense","Quintal","5","500.00","226.80","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Caguas","Juncos","Valenciano Abajo","Ají dulce","Capsicum chinense","Quintal","5","500.00","226.80","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Caguas","Juncos","Valenciano Abajo","Ají dulce","Capsicum chinense","Quintal","4","400.00","181.44","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Mayagüez","Mayagüez","Montoso","Ají dulce - en bancos","Capsicum chinense","Quintal","80","8,000.00","3,628.74","0.00","0.00","0.60","","","","USDA plant database"
"","2014","San Germán","Lajas","Candelaria","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","San Germán","Lajas","Lajas Arriba","Ají dulce","Capsicum chinense","Quintal","16","1,690.00","766.57","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","San Germán","Lajas","Lajas Arriba","Ají dulce","Capsicum chinense","Quintal","8","869.00","394.17","0.17","0.07","7,192.09","0.17","0.07","7,192.09","USDA plant database"
"","2016","San Germán","Lajas","Lajas Arriba","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","0.30","0.12","12,691.93","0.30","0.12","12,691.93","USDA plant database"
"","2015","San Germán","Lajas","Llanos","Ají dulce","Capsicum chinense","Quintal","95","9,500.00","4,309.12","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","San Germán","Lajas","Llanos","Ají dulce","Capsicum chinense","Quintal","200","20,000.00","9,071.84","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","San Germán","Lajas","París","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","0.50","0.20","21,153.21","0.00","0.00","0.00","USDA plant database"
"","2016","Mayagüez","Moca","Voladoras","Ají dulce","Capsicum chinense","Quintal","28","2,800.00","1,270.06","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2015","Lares","Lares","Bartolo","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2016","Lares","Lares","Bartolo","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2014","Lares","Lares","Buenos Aires","Ají dulce","Capsicum chinense","Quintal","4,000","400,000.00","181,436.80","0.00","0.00","0.00","","","","USDA plant database"
"","2014","Lares","Lares","Buenos Aires","China minneola","Citrus x tangelo","Millar","6","2,133.31","967.65","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Lares","Lares","Espino","Ají dulce","Capsicum chinense","Quintal","196","19,600.00","8,890.40","","","","","","","USDA plant database"
"","2014","Lares","Lares","Espino","Ají dulce","Capsicum chinense","Quintal","26,670","2,667,000.00","1,209,729.86","","","","","","","USDA plant database"
"","2013","Lares","Lares","La Torre","Ají dulce","Capsicum chinense","Quintal","480","48,000.00","21,772.42","","","","0.00","0.00","0.00","USDA plant database"
"","2016","Lares","Lares","Piletas","Ají dulce","Capsicum chinense","Quintal","0","60.00","27.22","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Lares","Lares","Pezuela","Ají dulce","Capsicum chinense","Quintal","13","1,300.00","589.67","0.50","0.20","21,153.22","0.50","0.20","21,153.22","USDA plant database"
"","2014","Naranjito","Morovis","Fránquez","Ají dulce","Capsicum chinense","Quintal","12,265","1,226,500.00","556,330.59","","","","","","","USDA plant database"
"","2013","Lares","Lares","Piletas","Ají dulce","Capsicum chinense","Quintal","8","800.00","362.87","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","Lares","Lares","Piletas","Ají dulce","Capsicum chinense","Quintal","12","1,200.00","544.31","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Lares","Lares","Piletas","Ají dulce","Capsicum chinense","Quintal","7","700.00","317.51","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","Lares","Las Marías","Maravilla Norte","Ají dulce","Capsicum chinense","Quintal","8","800.00","362.87","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Lares","Las Marías","Buena Vista","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","USDA plant database"
"","2015","Lares","Las Marías","Maravilla Norte","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Lares","Las Marías","Buena Vista","Achachairú","Garcinia spp.","Quintal","4","400.00","181.44","0.08","0.03","3,384.51","0.08","0.03","3,384.51","USDA plant database"
"","2016","Lares","Las Marías","Furnias","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","USDA plant database"
"","2016","Lares","Las Marías","Maravilla Norte","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2022","2","Camuy","Zanja","Vaquerías","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2022","2","Camuy","Zanja","Vaquerías","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2015","Lares","Las Marías","Furnias","Rambután","Nephelium lappaceum","Quintal","30","3,000.00","1,360.78","5.00","1.97","211,532.13","0.50","0.20","21,153.21","USDA plant database"
"","2016","Lares","Las Marías","Furnias","Rambután","Nephelium lappaceum","Quintal","30","3,000.00","1,360.78","5.00","1.97","211,532.13","0.50","0.20","21,153.21","USDA plant database"
"","2014","Lares","Las Marías","Maravilla Este","Ají dulce","Capsicum chinense","Quintal","108","10,800.00","4,898.79","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Lares","Las Marías","Maravilla Norte","Ají dulce","Capsicum chinense","Quintal","4","400.00","181.44","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2016","Lares","Maricao","Indiera Fría","Ají dulce","Capsicum chinense","Quintal","70","7,000.00","3,175.15","4.00","1.58","169,225.70","4.00","1.58","169,225.70","USDA plant database"
"","2016","Lares","Las Marías","Palma Escrita","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Naranjito","Morovis","Morovis Sur","Ají dulce","Capsicum chinense","Quintal","40","4,030.00","1,827.98","1.00","0.39","42,306.43","0.50","0.20","21,153.21","USDA plant database"
"","2014","Caguas","Las Piedras","El Río","Ají dulce","Capsicum chinense","Quintal","300","30,000.00","13,607.76","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Caguas","Las Piedras","Montones","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Caguas","Loíza","Canóvanas","Ají dulce","Capsicum chinense","Quintal","100","10,000.00","4,535.92","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Caguas","Loíza","Medianía Baja","Achachairú","Garcinia spp.","Quintal","22","2,200.00","997.90","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2016","Caguas","Loíza","Medianía Baja","Achachairú","Garcinia spp.","Quintal","22","2,200.00","997.90","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2013","Caguas","Luquillo","Mata de Plátano","Ají dulce","Capsicum chinense","Quintal","35","3,500.00","1,587.57","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","Caguas","Luquillo","Mata de Plátano","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Caguas","Luquillo","Mata de Plátano","Ají dulce","Capsicum chinense","Quintal","35","3,500.00","1,587.57","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Caguas","Luquillo","Mata de Plátano","Ají dulce","Capsicum chinense","Quintal","35","3,500.00","1,587.57","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Arecibo","Manatí","Bajura Adentro","Ají dulce","Capsicum chinense","Quintal","40","4,092.00","1,856.10","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Arecibo","Manatí","Bajura Adentro","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2015","Arecibo","Manatí","Río Arriba Poniente","Ají dulce","Capsicum chinense","Quintal","24","2,450.00","1,111.30","2.25","0.89","95,189.46","2.25","0.89","95,189.46","USDA plant database"
"","2016","Arecibo","Manatí","Río Arriba Poniente","Ají dulce","Capsicum chinense","Quintal","11","1,100.00","498.95","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Lares","Las Marías","Palma Escrita","Chironja","Citrus paradisi × Citrus sinensis","Millar","15","4,999.95","2,267.94","1.21","0.47","51,190.78","1.21","0.47","51,190.78","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2022","3","Mayagüez","Guanajibo","Hidropónicos","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2022","4","Guayama","Carmen","Hidropónicos","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2015","Arecibo","Manatí","Tierras Nuevas Poniente","Brécol","Brassica oleracea","Quintal","5","500.00","226.80","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Arecibo","Manatí","Tierras Nuevas Poniente","Brécol","Brassica oleracea","Quintal","5","500.00","226.80","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Arecibo","Manatí","Tierras Nuevas Poniente","Orégano - seco","Oregano spp.","Quintal","2","200.00","90.72","0.50","0.20","21,153.21","0.50","0.20","21,153.21","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2016","Arecibo","Manatí","Tierras Nuevas Poniente","Orégano - seco","Oregano spp.","Quintal","2","200.00","90.72","0.50","0.20","21,153.21","0.50","0.20","21,153.21","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2015","Lares","Maricao","Indiera Fría","Ají dulce","Capsicum chinense","Quintal","100","10,000.00","4,535.92","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Caguas","Maunabo","Calzada","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Caguas","Maunabo","Quebrada Arenas","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Caguas","Maunabo","Quebrada Arenas","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2013","Mayagüez","Mayagüez","Algarrobos","Ají dulce","Capsicum chinense","Quintal","1","159.00","72.12","0.01","0.00","423.06","0.01","0.00","423.06","USDA plant database"
"","2014","Caguas","Maunabo","Talante","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Mayagüez","Mayagüez","Bateyes","Ají dulce","Capsicum chinense","Quintal","0","60.00","27.22","0.10","0.04","4,230.64","0.10","0.04","4,230.64","USDA plant database"
"","2016","Mayagüez","Mayagüez","Bateyes","Ají dulce","Capsicum chinense","Quintal","2","200.00","90.72","0.10","0.04","4,230.64","0.10","0.04","4,230.64","USDA plant database"
"","2013","Mayagüez","Moca","Voladoras","Ají dulce","Capsicum chinense","Quintal","100","10,000.00","4,535.92","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Mayagüez","Mayagüez","Sabanetas","Ají dulce","Capsicum chinense","Quintal","46","4,600.00","2,086.52","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Mayagüez","Mayagüez","Sabanetas","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","4.00","1.57","169,225.71","0.00","0.00","0.00","USDA plant database"
"","2013","Mayagüez","Moca","Aceitunas","Ají dulce","Capsicum chinense","Quintal","4","420.00","190.51","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Mayagüez","Moca","Aceitunas","Ají dulce","Capsicum chinense","Quintal","80","8,000.00","3,628.74","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Mayagüez","Moca","Aceitunas","Ají dulce","Capsicum chinense","Quintal","156","15,600.00","7,076.04","1.75","0.69","74,036.25","1.75","0.69","74,036.25","USDA plant database"
"","2016","Mayagüez","Moca","Aceitunas","Ají dulce","Capsicum chinense","Quintal","367","36,700.00","16,646.83","5.25","2.06","222,108.75","5.25","2.06","222,108.75","USDA plant database"
"","2013","Mayagüez","Moca","Cerro Gordo","Ají dulce","Capsicum chinense","Quintal","35","3,500.00","1,587.57","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Mayagüez","Moca","Cerro Gordo","Ají dulce","Capsicum chinense","Quintal","92","9,223.00","4,183.48","1.87","0.74","79,113.01","1.87","0.74","79,113.01","USDA plant database"
"","2015","Mayagüez","Moca","Cerro Gordo","Ají dulce","Capsicum chinense","Quintal","201","20,100.00","9,117.20","2.55","1.01","107,881.38","2.55","1.01","107,881.38","USDA plant database"
"","2016","Mayagüez","Moca","Cerro Gordo","Ají dulce","Capsicum chinense","Quintal","157","15,700.00","7,121.39","2.40","0.95","101,535.42","2.40","0.95","101,535.42","USDA plant database"
"","2014","Mayagüez","Moca","Voladoras","Ají dulce","Capsicum chinense","Quintal","150","15,000.00","6,803.88","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Mayagüez","Moca","Marías","Ají dulce","Capsicum chinense","Quintal","25","2,500.00","1,133.98","0.45","0.18","19,037.90","0.25","0.10","10,576.61","USDA plant database"
"","2013","Mayagüez","Moca","Naranjo","Ají dulce","Capsicum chinense","Quintal","19","1,900.00","861.82","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Mayagüez","Moca","Naranjo","Ají dulce","Capsicum chinense","Quintal","19","1,900.00","861.82","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Naranjito","Morovis","Morovis Sur","Ají dulce","Capsicum chinense","Quintal","100","10,000.00","4,535.92","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Mayagüez","Moca","Plata","Ají dulce","Capsicum chinense","Quintal","5","500.00","226.80","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","Mayagüez","Moca","Plata","Ají dulce","Capsicum chinense","Quintal","52","5,200.00","2,358.68","1.50","0.59","63,459.64","1.50","0.59","63,459.64","USDA plant database"
"","2015","Mayagüez","Moca","Plata","Ají dulce","Capsicum chinense","Quintal","80","8,000.00","3,628.74","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Mayagüez","Moca","Plata","Ají dulce","Capsicum chinense","Quintal","70","7,000.00","3,175.14","2.25","0.89","95,189.46","2.25","0.89","95,189.46","USDA plant database"
"","2015","Mayagüez","Moca","Voladoras","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","0.05","0.02","2,115.32","0.00","0.00","0.00","USDA plant database"
"","2016","Mayagüez","Moca","Voladoras","Rambután","Nephelium lappaceum","Quintal","0","0.00","0.00","0.05","0.02","2,115.32","0.00","0.00","0.00","USDA plant database"
"","2015","Naranjito","Morovis","Vaga","Ají dulce","Capsicum chinense","Quintal","5","500.00","226.80","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2013","Naranjito","Morovis","Fránquez","Ají dulce","Capsicum chinense","Quintal","670","67,000.00","30,390.66","","","","","","","USDA plant database"
"","2015","Naranjito","Morovis","Fránquez","Ají dulce - hidropónico","Capsicum chinense","Quintal","578","57,813.00","26,223.51","0.92","0.36","38,820.00","0.20","0.08","8,259.00","USDA plant database"
"","2016","Naranjito","Morovis","Fránquez","Ají dulce - hidropónico","Capsicum chinense","Quintal","716","71,638.00","32,494.42","1.14","0.45","48,100.00","0.24","0.10","10,234.00","USDA plant database"
"","2015","Naranjito","Morovis","Morovis Sur","Ají dulce - hidropónico","Capsicum chinense","Quintal","14","1,440.00","653.17","0.04","0.02","1,800.00","0.01","0.00","400.00","USDA plant database"
"","2016","Naranjito","Morovis","Morovis Sur","Ají dulce - hidropónico","Capsicum chinense","Quintal","15","1,500.00","680.39","0.04","0.02","1,800.00","0.01","0.00","400.00","USDA plant database"
"","2013","Caguas","Naguabo","Maizales","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Caguas","Naguabo","Maizales","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","3.00","1.18","126,919.28","2.00","0.79","84,612.85","USDA plant database"
"","2015","Caguas","Naguabo","Mariana","Ají dulce","Capsicum chinense","Quintal","72","7,200.00","3,265.86","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Caguas","Naguabo","Mariana","Ají dulce","Capsicum chinense","Quintal","80","8,000.00","3,628.74","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2014","Caguas","Naguabo","Río Blanco","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Naranjito","Naranjito","Anones","Ají dulce","Capsicum chinense","Quintal","3","300.00","136.08","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2014","Naranjito","Naranjito","Anones","Ají dulce","Capsicum chinense","Quintal","3","300.00","136.08","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Naranjito","Naranjito","Anones","Ají dulce","Capsicum chinense","Quintal","113","11,300.00","5,125.59","3.00","1.19","126,919.27","2.75","1.09","116,342.67","USDA plant database"
"","2016","Naranjito","Naranjito","Anones","Ají dulce","Capsicum chinense","Quintal","115","11,500.00","5,216.31","2.75","1.09","116,342.67","2.75","1.09","116,342.67","USDA plant database"
"","2014","Caguas","Patillas","Marín","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2015","Naranjito","Naranjito","Cedro Abajo","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Naranjito","Naranjito","Cedro Abajo","Ají dulce","Capsicum chinense","Quintal","170","17,000.00","7,711.06","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Naranjito","Naranjito","Cedro Arriba","Ají dulce","Capsicum chinense","Quintal","218","21,800.00","9,888.30","4.50","1.77","190,378.92","2.50","0.99","105,766.06","USDA plant database"
"","2016","Naranjito","Naranjito","Cedro Arriba","Ají dulce","Capsicum chinense","Quintal","38","3,800.00","1,723.65","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Naranjito","Naranjito","Nuevo","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Naranjito","Naranjito","Nuevo","Ají dulce","Capsicum chinense","Quintal","53","5,300.00","2,404.04","10.00","3.93","423,064.26","4.00","1.57","169,225.71","USDA plant database"
