"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2016","Ponce","Coamo","Los Llanos","Ají dulce - en bancos","Capsicum chinense","Quintal","27","2,730.00","1,238.31","0.27","0.11","11,550.00","0.04","0.02","1,848.00","USDA plant database"
"","2013","Ponce","Coamo","Palmarejo","Ají dulce","Capsicum chinense","Quintal","71","7,176.00","3,254.98","500.00","196.52","21,153,213.20","400.00","157.22","16,922,570.56","USDA plant database"
"","2016","Ponce","Coamo","Palmarejo","Ají dulce","Capsicum chinense","Quintal","5","521.00","236.32","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Mayagüez","Isabela","Galateo Alto","Ají dulce","Capsicum chinense","Quintal","340","34,000.00","15,422.13","2.75","1.08","116,342.67","2.75","1.08","116,342.67","USDA plant database"
"","2013","Ponce","Coamo","Pasto","Ají dulce","Capsicum chinense","Quintal","140","14,000.00","6,350.29","2.00","0.78","84,612.86","2.00","0.78","84,612.86","USDA plant database"
"","2014","Ponce","Coamo","Pasto","Ají dulce","Capsicum chinense","Quintal","180","18,000.00","8,164.66","5.00","1.96","211,532.14","3.00","1.18","126,919.28","USDA plant database"
"","2015","Ponce","Coamo","Pasto","Ají dulce","Capsicum chinense","Quintal","508","50,800.00","23,042.48","7.50","2.95","317,298.20","2.50","0.98","105,766.07","USDA plant database"
"","2016","Ponce","Coamo","Pasto","Ají dulce","Capsicum chinense","Quintal","270","27,000.00","12,246.99","7.75","3.05","327,874.81","7.75","3.05","327,874.81","USDA plant database"
"","2013","Ponce","Coamo","Pedro García","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","2.00","0.78","84,612.86","2.00","0.78","84,612.86","USDA plant database"
"","2014","Ponce","Coamo","Pedro García","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","1.50","0.59","63,459.64","1.50","0.59","63,459.64","USDA plant database"
"","2015","Ponce","Coamo","Pedro García","Ají dulce","Capsicum chinense","Quintal","540","54,000.00","24,493.97","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
